epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.8756,0.14291,0.00848,0.27356,0.55385,0.97149,0.98542,0.98529,0.9939,0.72066,0.99106,0.98529,0.99457,0.99444,0.12069,0.00399,0.00473,0.36084,0.66644,0.0006625,0.0006625,0.0006625
2,149.918,0.114,0.00252,0.02153,0.22888,0.68257,0.96414,0.98837,0.99174,0.64641,0.96414,0.98837,0.99174,0.99174,0.12757,0.00452,0.0017,0.55098,0.77762,0.0013182,0.0013182,0.0013182
3,223.807,0.11272,0.00228,0.02695,0.21559,0.68497,0.53703,0.26471,0.30561,0.22936,0.64959,0.36803,0.59334,0.44771,0.1781,0.01677,1.06602,1.26865,1.09468,0.0019629,0.0019629,0.0019629
4,297.728,0.11059,0.00196,0.03257,0.20872,0.68101,0.84417,0.86765,0.92962,0.63655,0.83662,0.88971,0.94209,0.941,0.11756,0.00485,0.0365,0.31432,0.67384,0.0019505,0.0019505,0.0019505
5,371.627,0.0972,0.00249,0.01517,0.22957,0.63891,0.8584,0.96324,0.95756,0.71105,0.8584,0.96324,0.96376,0.9619,0.09653,0.00438,0.00339,0.32466,0.61967,0.001934,0.001934,0.001934
6,445.53,0.09349,0.00253,0.02893,0.1856,0.63539,0.9927,0.99924,0.9923,0.82575,0.9927,0.99924,0.99464,0.99417,0.07405,0.00239,0.00084,0.1575,0.56605,0.0019175,0.0019175,0.0019175
7,519.457,0.08684,0.00185,0.016,0.17949,0.6237,0.99206,0.99265,0.99485,0.8561,0.99206,0.99265,0.99485,0.99485,0.07377,0.00143,0.00222,0.16095,0.54852,0.001901,0.001901,0.001901
8,596.203,0.08545,0.00137,0.0243,0.1717,0.6208,1,0.99896,0.995,0.85558,1,0.99896,0.995,0.995,0.07039,0.0012,0.00934,0.15526,0.55275,0.0018845,0.0018845,0.0018845
9,672.977,0.08433,0.00109,0.0265,0.16109,0.60706,0.98413,0.99265,0.99463,0.83059,0.98413,0.99265,0.99463,0.99463,0.07474,0.00091,0.00219,0.1613,0.56103,0.001868,0.001868,0.001868
10,746.616,0.08917,0.00137,0.03623,0.17116,0.6247,0.97882,0.99265,0.99419,0.78967,0.97882,0.99265,0.99419,0.99419,0.08375,0.00225,0.00174,0.17699,0.57466,0.0018515,0.0018515,0.0018515
